ImageName,Image URL,Style,Category,Artist,Title,Year,Face or body,Is painting,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral
st-juvenal-triptych-1422.jpg,https://use2-uploads3.wikiart.org/images/masaccio/st-juvenal-triptych-1422.jpg,Renaissance Art,Early Renaissance,Masaccio,St. Juvenal Triptych,1422,face,yes,1.06,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.188,0.188,0.313,0.313,0.188,0.0,0.0,0.063,0.0,0.0,0.0,0.688,0.0
blessing-christ-and-praying-virgin.jpg,https://use2-uploads0.wikiart.org/images/robert-campin/blessing-christ-and-praying-virgin.jpg,Renaissance Art,Northern Renaissance,Robert Campin,Blessing Christ and Praying Virgin,1424,face,yes,1.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.3,0.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.6,0.0
the-tribute-money-1425.jpg,https://use2-uploads1.wikiart.org/images/masaccio/the-tribute-money-1425.jpg,Renaissance Art,Early Renaissance,Masaccio,The Tribute Money,1425,face,yes,1.08,0.0,0.083,0.167,0.083,0.083,0.083,0.083,0.083,0.333,0.417,0.0,0.083,0.083,0.0,0.0,0.083,0.0,0.167,0.5,0.0
st-paul-1426.jpg,https://use2-uploads0.wikiart.org/images/masaccio/st-paul-1426.jpg,Renaissance Art,Early Renaissance,Masaccio,St. Paul,1426,face,yes,1.45,0.0,0.0,0.091,0.0,0.0,0.091,0.0,0.182,0.091,0.273,0.091,0.273,0.0,0.0,0.364,0.0,0.0,0.091,0.364,0.0
st-andrew-1426.jpg,https://use2-uploads2.wikiart.org/images/masaccio/st-andrew-1426.jpg,Renaissance Art,Early Renaissance,Masaccio,St. Andrew,1426,face,yes,1.23,0.094,0.0,0.063,0.0,0.0,0.031,0.0,0.156,0.219,0.406,0.109,0.109,0.016,0.016,0.234,0.0,0.0,0.047,0.516,0.0
adam-and-eve-banished-from-paradise.jpg,https://use2-uploads5.wikiart.org/images/masaccio/adam-and-eve-banished-from-paradise.jpg,Renaissance Art,Early Renaissance,Masaccio,Adam and Eve banished from Paradise,1427,face,yes,0.63,0.0,0.127,0.042,0.028,0.07,0.085,0.451,0.0,0.0,0.042,0.0,0.014,0.197,0.465,0.662,0.676,0.028,0.014,0.085,0.0
holy-virgin-in-glory-1430.jpg,https://use2-uploads0.wikiart.org/images/robert-campin/holy-virgin-in-glory-1430.jpg,Renaissance Art,Northern Renaissance,Robert Campin,Holy Virgin in Glory,1430,face,yes,0.4,0.0,0.1,0.0,0.1,0.0,0.0,0.2,0.4,0.3,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.5,0.0
madonna-and-child-1430.jpg,https://use2-uploads6.wikiart.org/images/filippo-lippi/madonna-and-child-1430.jpg,Renaissance Art,Early Renaissance,Filippo Lippi,Madonna and Child,1430,face,yes,1.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.4,0.1,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0
last-judgment.jpg,https://use2-uploads5.wikiart.org/images/fra-angelico/last-judgment.jpg,Renaissance Art,Early Renaissance,Fra Angelico,Last Judgment,1431,face,yes,1.14,0.071,0.071,0.143,0.071,0.0,0.0,0.286,0.071,0.143,0.143,0.071,0.143,0.143,0.071,0.0,0.071,0.071,0.143,0.429,0.0
the-ghent-altarpiece-1432-1.jpg,https://use2-uploads1.wikiart.org/images/jan-van-eyck/the-ghent-altarpiece-1432-1.jpg,Renaissance Art,Northern Renaissance,Jan van Eyck,The Ghent Altarpiece,1432,face,yes,1.6,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.8,0.0
